222,Kangaroo no Tanjoubi,11461,Movie,1,Feb 1941 - Feb 1941,5.29
223,Kuroko no Basket: Oshaberi Shiyou ka,3140,Special,1,Jan 2017 - Jan 2017,7.18
224,W'z: Hand Shakers with W'z,10132,Special,1,Feb 2019 - Feb 2019,5.69
225,Notari Matsutarou,9470,OVA,10,Nov 1990 - Apr 1991,5.87
226,Curly,10844,ONA,1,Oct 2014 - Oct 2014,5.5
227,Aoki Honoo,12429,OVA,1,Nov 1989 - Nov 1989,4.67
228,Magi: Sinbad no Bouken (TV),836,TV,13,Apr 2016 - Jul 2016,7.84
229,11-gatsu Umare no Otokonoko no Tame ni.,10213,Movie,1,2012 - 2012,5.67
230,Lupin III: Bye Bye Liberty - Kiki Ippatsu!,4882,Special,1,Apr 1989 - Apr 1989,6.8
231,Bomberman B-Daman Bakugaiden,4865,TV,48,Feb 1998 - Jan 1999,6.8
232,Beelzebub,797,TV,60,Jan 2011 - Mar 2012,7.86
233,Tokyo Magnitude 8.0,581,TV,11,Jul 2009 - Sep 2009,8.01
234,Slime-tachi no Idobata Kaigi 2nd Season,9841,ONA,14,Dec 2022 - Mar 2023,5.77
235,Ni no Kuni,6735,Movie,1,Aug 2019 - Aug 2019,6.43
236,Sam to Chip no wa Hachamecha Dai Race,11584,OVA,1,Jun 1993 - Jun 1993,5.24
237,Girls & Panzer Movie,368,Movie,1,Nov 2015 - Nov 2015,8.18
238,Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,4795,Special,1,Jul 2021 - Jul 2021,6.82
239,Osu,11768,Movie,1,Nov 1962 - Nov 1962,5.14
240,Fate/kaleid liner Prisma☆Illya 3rei!! Specials,5521,Special,6,Sep 2016 - Feb 2017,6.67
241,Ningyo no Kizu,5174,OVA,1,Sep 1993 - Sep 1993,6.74
242,Bishoujo Senshi Sailor Moon S: Kotaete Moon Call!,8491,OVA,1,Sep 1994 - Sep 1994,6.08
243,Lupin III: Pilot Film,7196,Movie,1,1969 - 1969,6.34
244,Wu Liuqi: Xuanwu Guo Pian,198,ONA,10,Jan 2021 - May 2021,8.36
245,Tales of Symphonia The Animation: Tethe'alla-hen Specials,3806,Special,4,Mar 2010 - Feb 2011,7.05
246,Ao no Exorcist: Kyoto Fujouou-hen,2281,TV,12,Jan 2017 - Mar 2017,7.35
247,1-gatsu ni wa Christmas,11418,OVA,1,Nov 1991 - Nov 1991,5.3
248,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,6848,TV,25,Oct 2011 - Mar 2012,6.41
249,Mikan Enikki,3222,TV,30,Oct 1992 - Jun 1993,7.17
250,Yatogame-chan Kansatsu Nikki Yonsatsume,7604,TV,10,Apr 2022 - Jun 2022,6.27
251,Little Nemo Pilot (1987),9465,Special,1,1987 - 1987,5.87
252,Duan Nao,7164,ONA,16,Nov 2014 - Jul 2015,6.35
253,Hana to Chou,12129,Movie,1,Oct 1954 - Oct 1954,4.93
254,Choujin Locke: Mirror Ring,11168,OVA,1,Dec 2000 - Dec 2000,5.39
255,Meng Qi Shi Shen: Zaijie Liangyuan,2595,ONA,12,Oct 2021 - Dec 2021,7.29
256,Shanhe Jian Xin Xiao Juchang,7664,ONA,95,2021 - 2021,6.25
257,Xenosaga The Animation,7289,TV,12,Jan 2005 - Mar 2005,6.32
258,Agigongryong Doolie (2009),10556,TV,26,Jan 2009 - Feb 2009,5.58
259,Ranma ½: Totteoki Talk - Best of Memories,4112,OVA,1,May 1993 - May 1993,6.98
260,Kakumeiki Valvrave,3416,TV,12,Apr 2013 - Jun 2013,7.13
261,Domo-kun,7551,TV,37,Dec 1998 - Jan 2008,6.28
262,Kidou Senshi Gundam 00 Second Season,479,TV,25,Oct 2008 - Mar 2009,8.08
263,Shin Chou Kyou Ryo: Condor Hero II,2975,TV,26,Jan 2005 - Sep 2006,7.22
264,Nanatsu no Taizai: Eiyuu-tachi wa Hashagu,3698,OVA,1,Nov 2018 - Nov 2018,7.07
265,Mamotte Shugogetten!,5777,TV,22,Oct 1998 - Apr 1999,6.62
266,Tekken Chinmi,2993,TV,20,Jul 1988 - Dec 1988,7.21
267,Dankichi-jima no Olympic Taikai,12657,Movie,1,1932 - 1932,4.25
268,Wan Jie Xian Zong 4th Season,4086,ONA,48,Sep 2020 - Feb 2021,6.99
269,Ikkitousen: Dragon Destiny,5108,TV,12,Feb 2007 - May 2007,6.75
270,Gekitou! Crush Gear Turbo,4274,TV,68,Oct 2001 - Jan 2003,6.93
271,Kidou Senshi Gakuen: G-Reco Koushien,11640,Special,9,Dec 2014 - Aug 2015,5.21
272,Kurogane no Linebarrels Specials,6433,Special,2,Aug 2009 - Nov 2009,6.5
273,Wan Yu Zhi Wang,10018,ONA,24,Jan 2022 - Jul 2022,5.73
274,Huoli Shaonian Wang zhi Chuanqi Zaixian,9407,TV,40,Sep 2014 - Oct 2014,5.88
275,Ai no Gakkou Cuore Monogatari,6484,TV,26,Apr 1981 - Sep 1981,6.48
276,Shounen Sunday CM: ARMS,11520,Special,1,Jul 1998 - Jul 1998,5.26
277,"Clannad: After Story - Mou Hitotsu no Sekai,0,,1,,5.26
278,Kero Kero Keroppi no Daibouken: Fushigi na Mame no Ki,8863,Movie,1,Jul 1990 - Jul 1990,6
279,Larva Island,10508,ONA,13,Oct 2018 - Oct 2018,5.6
280,Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,6407,Special,11,May 2004 - Mar 2005,6.5
281,Momoya x Peeping Life: Go en desu yo! II,10524,ONA,5,Dec 2013 - Jan 2014,5.59
282,Monster Musume no Oishasan,6232,TV,12,Jul 2020 - Sep 2020,6.53
283,Koi to Uso,6430,TV,12,Jul 2017 - Sep 2017,6.5
284,Brave Witches,4923,TV,12,Oct 2016 - Dec 2016,6.79
285,Panda Kopanda,5271,Movie,2,Dec 1972 - Mar 1973,6.72
286,Katsura Hime,11922,Movie,1,1937 - 1937,5.07
287,Final Fantasy VII: Advent Children,1103,Movie,1,Sep 2005 - Sep 2005,7.72
288,Mazinkaiser: Shitou! Ankoku Dai Shogun,3697,OVA,1,Jul 2003 - Jul 2003,7.07
289,Keroro Gunsou Movie 1,2978,Movie,1,Mar 2006 - Mar 2006,7.21
290,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,4589,Movie,1,Dec 2020 - Dec 2020,6.86
291,Monster Farm: Enbanseki no Himitsu,4901,TV,48,Apr 1999 - Mar 2000,6.79
292,Angel Beats! Another Epilogue,1896,Special,1,Dec 2010 - Dec 2010,7.45
293,Feng Wei Ying Xiong,8341,ONA,13,Sep 2015 - Jul 2016,6.11
294,Tairiki Tarou no Mucha Shuugyou,12410,Movie,1,1928 - 1928,4.68
295,Guilty Crown: Kiseki - Reassortment,3560,Special,1,Jan 2012 - Jan 2012,7.1
296,Tsurikichi Sanpei,3387,TV,109,Apr 1980 - Jun 1982,7.14
297,Great Teacher Onizuka,56,TV,43,Jun 1999 - Sep 2000,8.69
298,Majimoji Rurumo: Kanketsu-hen,2118,OVA,2,Jul 2019 - Jul 2019,7.39
299,Teppen!!!!!!!!!!!!!!!,5428,TV,12,Jul 2022 - Sep 2022,6.69
300,Kiseichuu no Ichiya,11984,Movie,1,1972 - 1972,5.03
301,Fengshen Bang,12237,Movie,1,Feb 1976 - Feb 1976,4.84
302,Daikuu Maryuu Gaiking,4733,TV,44,Apr 1976 - Jan 1977,6.83
303,Tori no Uta,6993,OVA,1,Jan 2007 - Jan 2007,6.38
304,"Urawa no Usagi-chan: Natsu no Hi to,0,,1,,6.38
305,Shihaisha no Tasogare,9719,OVA,1,Jan 1998 - Jan 1998,5.8
306,Bulg-eunmae,11038,Movie,1,Aug 1995 - Aug 1995,5.43
307,Ginga Tetsudou no Yoru,2289,Movie,1,Jul 1985 - Jul 1985,7.35
308,GA: Geijutsuka Art Design Class,3351,TV,12,Jul 2009 - Sep 2009,7.14
